Designator,Mid X,Mid Y,Layer,Rotation
C1,22,49.59,Top,0
C2,22,46.93,Top,0
C3,22,14,Top,180
C4,22,11.2,Top,180
COOL,8,54,Top,180
FLOW0,73.7,5.4,Top,180
FLOW1,58.4,11.23,Top,180
FLOW2,73.5,17.1,Top,180
FLOW3,58.4,22.88,Top,180
FLOW4,73.5,28.7,Top,180
FLOW5,58.4,34.52,Top,180
FLOW6,73.5,40.35,Top,180
FLOW7,58.4,46.18,Top,180
FLOW8,73.6,52,Top,180
KEG,5.9,4.6,Top,180
LOWER,5.9,14.68,Top,180
R1,49.1,4.03,Top,270
R2,49.1,9.85,Top,270
R3,49.1,15.73,Top,270
R4,49.1,21.51,Top,270
R5,49.1,27.34,Top,270
R6,49.1,33.17,Top,270
R7,49.1,38.99,Top,270
R8,49.1,44.82,Top,270
R9,49.1,50.65,Top,270
R10,4.1,54,Top,0
R11,53.9,54,Top,180
R12,11.7,45.88,Top,90
R13,11.7,35.8,Top,90
R14,11.7,25.73,Top,90
R15,11.7,15.65,Top,90
R16,11.7,5.58,Top,90
ROOM,5.9,44.9,Top,0
SOLENOID,50,54,Top,180
TOWER,5.9,34.83,Top,0
UPPER,5.9,24.75,Top,0